,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144
412,according,united,states,department,agriculture,food,safety,inspection,service,completed,implementation,landmark,rule,pathogen,reduction/hazard,analysis,critical,control,point,haccp,systems,rule,addresses,serious,problem,foodborne,illness,united,states,associated,meat,poultry,products,focusing,attention,prevention,reduction,microbial,pathogens,raw,products,cause,illness,also,clarifies,respective,roles,government,industry,food,safety,industry,accountable,producing,safe,food,government,responsible,setting,appropriate,food,safety,standards,maintaining,vigorous,oversight,ensure,standards,met,operating,strong,enforcement,program,among,things,deal,manufacturing,plants,meet,regulatory,standards,according,passage,industry,responsible,setting,food,safety,standards,enforcing,haccp,rule,overseeing,food,quality,producing,safe,food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,according,department,agriculture,avian,influenza,bird,flu,type,virus,infects,domestic,poultry,chickens,turkeys,quail,geese,wild,birds,shorebirds,waterfowl,viruses,divided,two,groups,highly,pathogenic,hpai,low,pathogenic,lpai,based,ability,virus,produce,disease,severity,illness,cause,hpai,spreads,rapidly,high,death,rate,birds,lpai,causes,minor,illness,occurs,naturally,migratory,waterfowl,concern,lpai,virus,strains,capable,mutating,hpai,viruses,hpai,viruses,considered,exotic,foreign,united,states,occur,naturally,hpai,detected,three,times,according,passage,viruses,divided,two,groups,based,ability,virus,produce,disease,occur,naturally,mutate,rapidly,infect,birds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,following,excerpt,speech,president,john,kennedy,honor,poet,robert,frost,national,strength,matters,spirit,informs,controls,strength,matters,much,special,significance,robert,frost,brought,unsparing,instinct,reality,bear,platitudes,pieties,society,sense,human,tragedy,fortified,self-deception,easy,consolation,wrote,one,acquainted,night,knew,midnight,well,high,noon,understood,ordeal,well,triumph,human,spirit,gave,age,strength,overcome,despair,bottom,held,deep,faith,spirit,mankind,hardly,accident,robert,frost,coupled,poetry,power,saw,poetry,means,saving,power,based,passage,president,kennedy,believed,exercise,power,poetic,robert,frost,tragic,figure,human,spirit,important,strength,robert,frost,embodies,best,humankind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,americans,reason,celebrate,fourth,july,two,centuries,july,marks,date,thirteen,american,colonies,officially,freed,british,rule,signing,declaration,independence,almost,representatives,signed,action,estimated,million,people,newly,became,citizens,self-proclaimed,sovereign,nation,perhaps,june,might,also,day,celebrate,day,second,continental,congress,formed,committee,individuals,purpose,drafting,declaration,july,marks,date,declaration,officially,approved,matter,date,tradition,commemorating,july,started,reading,declaration,four,days,document,approval,bells,rang,bands,played,year,later,bonfires,fireworks,added,celebration,tradition,continues,day,americans,celebrate,independence,based,passage,many,representatives,signed,declaration,five,thirteen,fifty-six,fifty-eight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416,earth,day,april,annual,celebration,environment,time,assess,work,still,needed,protect,natural,gifts,planet,though,earth,day,occurs,year,every,day,earth,day,national,aeronautics,space,administration,nasa,nasa,earth,science,mission,seeks,understand,earth,systems,responses,natural,anthropogenic,human-made,changes,fleet,satellites,nasa,earth,observing,system,eos,gives,scientists,global,long-term,measurements,need,connect,atmosphere,air,lithosphere,land,hydrosphere,water,cryosphere,snow/ice,biosphere,life,single,system,satellites,gathers,unique,set,measurements,studying,earth,measurements,used,improve,weather,forecasts,understand,natural,disasters,manage,agriculture,forests,predict,climate,change,based,passage,nasa,eos,place,primarily,survey,solar,systems,deploy,satellite,fleet,measure,earth,systems,prevent,natural,disasters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,following,excerpt,gulliver,travels,jonathan,swift,home,ten,days,captain,william,robinson,cornish,man,commander,hopewell,came,house,formerly,surgeon,another,ship,master,fourth,part,owner,voyage,levant,always,treated,like,brother,inferior,officer,hearing,arrival,made,visit,expressing,joy,find,good,health,asking,whether,settled,life,adding,intended,voyage,east,indies,two,months,last,plainly,invited,though,apologies,surgeon,ship,another,surgeon,beside,two,mates,salary,double,usual,pay,experienced,knowledge,sea-affairs,least,equal,would,enter,engagement,follow,advice,much,shared,command,relationship,narrator,captain,robinson,sea,part,ship,owner,fellow,captain,subordinate,ship,mate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
418,following,excerpt,adventures,huckleberry,finn,mark,twain,got,six,thousand,dollars,apiece,gold,awful,sight,money,piled,well,judge,thatcher,took,put,interest,fetched,dollar,day,apiece,year,round,body,could,tell,widow,douglas,took,son,allowed,would,sivilize,rough,living,house,time,considering,dismal,regular,decent,widow,ways,could,stand,longer,lit,got,old,rags,sugar-hogshead,free,satisfied,following,statements,suggested,passage,boy,disapproved,judge,thatcher,boy,liked,house,day,boy,ran,away,widow,douglas,boy,spent,money,quickly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,following,excerpt,secret,garden,frances,burnett,people,began,find,last,century,thoughts,mere,thoughts,powerful,electric,batteries,good,one,sunlight,bad,one,poison,long,mistress,mary,mind,full,disagreeable,thoughts,dislikes,sour,opinions,people,determination,pleased,interested,anything,yellow-faced,sickly,bored,wretched,child,circumstances,however,kind,though,aware,began,push,good,mind,gradually,filled,robins,moorland,cottages,crowded,children,crabbed,old,gardeners,common,little,yorkshire,housemaids,springtime,secret,gardens,coming,alive,day,day,room,left,disagreeable,thoughts,affected,liver,digestion,made,yellow,passage,suggests,mary,new,thoughts,unfulfilled,wishes,control,improving,well-being,protecting,reality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,many,people,think,water,best,remedy,putting,fires,three,types,fires,water,makes,things,worse,fires,involving,wood,paper,cloth,trash,class,fires,extinguishing,fire,water,fine,class,fires,involving,flammable,liquids,gas,grease,oil,paint,water,dangerous,water,also,remedy,class,fires,arise,charged,electrical,equipment,combustible,metals,burning,fire,designated,class,water,extinguishers,douse,class,fires,foam,extinguishers,appropriate,fight,class,fires,carbon,dioxide,extinguishers,used,classes,fires,dry,powder,extinguishers,safely,used,class,fires,based,passage,would,correct,classification,fire,light,switch,class,class,class,class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,emergency,right,tool,knowledgeable,hands,make,difference,however,sometimes,knowledge,used,actively,forgotten,use,mnemonic,memory,aid,help,example,procedures,using,fire,extinguisher,easy,remember,mnemonic,p-a-s-s.,letter,cue,supposed,specific,order,first,pull,pin,lever,handle,pin,place,lever,handle,compressed,release,extinguishing,agent,second,aim,nozzle,located,end,hose,toward,base,fire,third,squeeze,lever,steadily,finally,sweep,nozzle,one,side,fire,side,fire,understand,use,extinguisher,need,use,hard,time,remembering,use,remember,pass,according,passage,mnemonics,aids,memory,learning,pass,crises,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
422,maintain,safety,prevent,collisions,sea,department,homeland,security,publishes,basic,rules,govern,use,navigable,waters,whether,inland,international,included,rules,governing,conduct,vessels,types,signals,conduct,vessels,determines,two,vessels,going,cross,paths,captains,need,know,expected,expected,vessel,scenario,give-way,vessel,one,change,course,stand-on,vessel,one,always,maintains,course,example,powered,vessel,encounters,sailing,vessel,powered,one,always,obligated,give,way,sailing,vessel,sailing,vessel,limited,ability,maneuver,based,passage,type,vessel,always,right-of-way,stand-on,sail,boat,give-way,power,boat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,riding,ship,night,may,notice,boat,certain,lights,located,side,top,light,specific,important,meaning,color,specific,regulated,purpose,light,vessel,left,side,port,side,always,red,port,side,mean,vessel,left,side,would,see,shore,rather,port,side,means,left,side,passenger,ship,facing,bow,bow,front,ship,light,starboard,side,right,side,always,green,lights,required,viewable,front,side,vessel,light,placed,highest,point,vessel,must,observable,front,back,sides,always,white,according,passage,light,vessel,right,side,red,blue,white,green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
424,following,excerpt,one,irish,summer,william,eleroy,curtis,trinity,college,expansive,setting,green,grass,grove,flowering,shrubs,cricket,grounds,tennis,courts,surrounded,sides,business,houses,clubs,hotels,like,island,verdure,midst,ocean,trade,commerce,one,side,campus,outside,world,kept,bay,continuous,line,dormitories,lecture-rooms,overlook,busy,street,windows,one,wall,peaceful,lawn,windows,south,side,barrier,high,iron,picket,fence,hidden,wonderful,hedge,hawthorn,laburnum,bushes,side,hedge,shops,street-car,line,leads,attractive,part,city,two,entrances,college,green,one,east,end,west,nearly,half,mile,walk,one,across,green,among,buildings,based,passage,side,trinity,college,southern,fence,street-car,line,lecture-rooms,cricket,grounds,college,green,entry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425,meteorologists,people,study,predict,weather,use,data,gathered,satellites,aircraft,ships,balloons,around,globe,develop,weather,forecasts,years,numerous,approaches,weather,prediction,developed,one,reliable,methods,called,numerical,weather,prediction,nwp,relies,complex,computer,programs,predict,temperature,air,pressure,wind,rainfall,interact,producing,weather,however,always,complete,data,places,like,mountains,oceans,nwp,method,completely,reliable,gaps,data,may,often,create,errors,predictions,besides,takes,human,knowledge,experience,interpret,computer,forecasts,beginners,always,accurate,according,passage,nwp,reliable,long,weather,forecasters,computer,literate,computer,programs,complex,data,satellite,sources,verified,human,interpretation,accurate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
426,sky,thought,celestial,sphere,huge,proportions,earth,center,since,viewpoint,locations,earth,defined,terms,longitude,latitude,locations,stars,defined,terms,celestial,coordinates,called,right,ascension,declination,celestial,equivalent,longitude,right,ascension,measured,terms,hours,minutes,seconds,declination,equivalent,latitude,measured,terms,degrees,celestial,equator,think,earth,equator,ring,celestial,equator,much,larger,version,ring,space,earth,north,south,poles,celestial,sphere,north,south,poles,system,defining,positions,stars,works,almost,absolute,accuracy,based,passage,declination,measure,based,time,measure,based,degrees,celestial,equator,celestial,equivalent,longitude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
427,following,excerpt,cat,philip,rule,often,observed,surprise,expressed,visitors,large,cat-show,seeing,assemblage,many,different,sorts,cats,common,favorites,tabby,cats,handsomest,best,brown,tabby,deep,rich,brown,grey,blue,silver,tabby,pale,variety,tabby,sometimes,beautiful,ground-color,silver,grey,stripes,darker,shade,bold,contrast,blue,red,tabby,bright,sandy,yellow,usual,markings,deeper,shade,cats,good,color,much,distinguished,proud,owners,aspiring,title,orange,tabby,spotted,tabby,cats,distinguished,others,markings,broken,small,well-defined,spots,less,elongated,upon,sides,transversely,stripes,along,back,according,passage,type,tabby,sometimes,beautiful,red,blue,brown,spotted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
428,many,wildland,fires,natural,part,earth,ecological,processes,fires,burn,non-populated,areas,beneficial,local,ecosystem,fires,burn,fallen,trees,limbs,leaves,needles,forest,floor,turn,nourishes,soil,fires,destroy,low,brush,younger,trees,established,trees,less,competition,nutrients,sunlight,grow,stronger,taller,trees,require,intense,heat,propagate,cones,release,seeds,exposed,heat,fire,thick,brush,burned,new,tender,shoots,grow,new,growth,offers,food,homes,many,wildlife,animals,term,prescribed,natural,fire,used,describe,wildfire,threatening,humans,property,controllable,based,conditions,resources,promote,growth,healthy,forests,fires,allowed,burn,without,human,intervention,based,passage,advantage,wildland,fires,control,animal,populations,encourage,wildlife,migrate,enable,cones,release,seeds,create,competition,nutrients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429,old,saying,everybody,talks,weather,nobody,anything,entirely,true,one,volunteers,make,cooperative,observer,program,national,weather,service,nws,data,collect,via,backyard,weather,station,compiled,data,thousands,weather,stations,around,united,states,data,collection,provide,observational,meteorological,data,near,real,time,support,nws,station,might,collect,precipitation,totals,daily,maximum,minimum,temperatures,data,evaporation,become,observer,required,take,test,must,transmit,data,daily,nws,national,climatic,data,center,compiled,data,support,real-time,weather,forecasts,also,help,measure,long-term,climate,changes,according,passage,data,volunteer,observers,predict,long-term,climate,changes,support,real-time,weather,forecasts,analyzed,backyard,meteorologists,require,expensive,backyard,weather,station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
430,black,hills,south,dakota,possible,gaze,upon,faces,four,american,presidents,george,washington,thomas,jefferson,abraham,lincoln,theodore,roosevelt,faces,resided,together,sculpted,side,mount,rushmore,since,sculptor,directed,ambitious,project,gutzon,borglum,oversaw,creation,fourteen,years,president,memorialized,part,particular,contribution,united,states,washington,led,colonists,victory,american,revolution,jefferson,acquired,louisiana,territory,france,lincoln,worked,preserve,union,free,slaves,roosevelt,advanced,construction,panama,canal,based,passage,president,featured,mount,rushmore,commemorated,significant,achievement,successful,part,america,military,history,important,development,south,dakota,identified,favorite,sculptor,gutzon,borglum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,achieve,breathtaking,sense,freedom,endeavors,thrilling,skydiving,jump,plane,feet,high,free,fall,mph,entire,minute,time,find,move,body,direction,stand,head,stand,feet,glide,like,eagle,parachute,opens,begin,descend,slowly,time,seems,stand,still,daring,might,argue,frightening,part,jump,everywhere,look,see,vast,world,never,seen,fears,give,way,sense,awe,beauty,earth,gently,return,unforgettable,view,makes,adventure,skydiving,feel,entirely,worth,risk,based,passage,author,attitude,toward,skydiving,likely,requires,daring,worth,possible,danger,far,risky,generally,reported,sport,courageous,people,little,dull,parachute,deploys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
432,say,toughest,president,history,andrew,jackson,nation,seventh,president,jackson,known,fiery,quick,temper,eagerness,duel,major,general,war,jackson,displayed,great,leadership,receiving,orders,immediately,disband,militia,refused,leave,soldiers,find,ways,home,walked,alongside,new,orleans,tennessee,aiding,sick,encouraging,weak,ensuring,enough,food,supplies,journey,tribute,jackson,soldiers,nicknamed,old,hickory,strength,determination,loyalty,strength,seem,fade,time,jackson,years,old,became,first,president,assassination,attempted,jackson,survived,attempt,gun-wielding,assassin,hitting,head,repeatedly,cane,based,passage,andrew,jackson,known,battles,war,complete,loyalty,commanding,officers,quickness,anger,readiness,duel,president,thwart,assassination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433,following,excerpt,house,john,procter,william,upham,nearly,forty,years,since,assisted,late,father,charles,upham,preparation,work,salem,village,witchcraft,tragedy,collecting,information,could,obtained,records,people,homes,enabled,construct,map,showing,bounds,grants,farms,time,map,represented,quite,accurately,downing,farm,owned,emanuel,downing,occupied,tenant,john,procter,victim,witchcraft,delusion,made,map,knew,john,procter,death,owned,fifteen,acres,land,salem…,lately,making,complete,study,records,learned,exact,situation,lot,owned,also,house,upon,death,appears,lot,place,buried,according,family,tradition,author,likely,wrote,passage,order,describe,salem,village,geography,highlight,father,accomplishments,undo,offence,happened,explain,found,proctor,burial,location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
434,following,excerpt,tracks,trades,lewis,freeman,praises,hilo,kind,hospitable,people,unique,picturesque,japanese,quarter,avenues,palms,mangoes,streams,waterfalls,sung,often,well,forego,brief,mention,along,cruise,occasions,met,sumptuous,entertainment,saw,harbors,picturesque,better,protected,mountains,clothed,even,reckless,riot,tropical,vegetation,found,place,ever,seriously,rivaled,hilo,first,place,hearts,first,love,first,tropical,experience,gateway,mystical,latitudes,enchantment,south,pacific,ten,days,boat,lurline,lay,hilo,bay,visits,made,kilauea,largest,active,volcano,world,peerless,onomea,gulch,several,interesting,sugar,mills,plantations,based,passage,main,reason,hilo,author,favorite,city,japanese,quarter,picturesque,harbors,first,city,visited,tropics,kind,hospitable,people,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435,europe,middle,ages,belief,full,moon,made,people,act,crazy,widespread,fact,lawyers,back,used,defense,guilty,reason,full,moon,attempt,exonerate,criminal,clients,today,still,believe,moon,affects,people,even,causes,sprees,violent,crimes,psychotic,behavior,one,theory,states,gravitational,pull,moon,stronger,full,control,human,body,ocean,tides,body,mostly,composed,water,many,scientific,studies,however,found,evidence,moon,effect,human,behavior,despite,lack,evidence,belief,ingrained,people,minds,difficult,discredit,according,passage,scientific,studies,suggest,moon,affect,human,behavior,way,stronger,controlling,full,affects,body,way,affects,oceans,causes,sprees,violent,crime,psychotic,behavior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436,genovese,syndrome,also,known,bystander,effect,refers,social,phenomenon,people,witness,emergency,less,likely,intervene,phenomenon,named,person,killed,middle,apartment,complex,surrounded,dozens,apartments,murder,reportedly,occurred,presence,people,watching,windows,reports,incident,however,likely,exaggerated,painting,many,witnesses,indifferent,uncaring,truth,many,eyewitnesses,see,murder,heard,faint,screams,thought,typical,noises,nearby,bar,several,called,police,others,simply,half-asleep,confused,incident,happened,night,rather,unconcerned,spite,reporting,inaccuracies,incident,led,insightful,research,situational,ambiguity,diffusion,responsibility,based,passage,genovese,syndrome,occurs,social,setting,apartment,buildings,someone,killed,darker,hours,night,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437,james,marshall,chance,discovery,gold,northern,california,led,largest,mass,migration,history,united,states,california,gold,rush,gold,attracted,hundreds,thousands,people,states,around,world,mid-1850s,well,new,settlers,california,search,gold,percent,population,born,outside,united,states,unfortunately,majority,gold,miners,never,made,rich,fact,profited,entrepreneurs,settled,california,provide,services,merchandise,gold-seekers,john,marshall,never,struck,rich,sawmill,went,business,men,worked,left,search,gold,according,passage,california,gold,rush,resulted,john,marshall,sawmill,earning,record,profits,massive,migration,united,states,history,attracting,people,mostly,born,outside,united,states,making,majority,gold,miners,entrepreneurs,rich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
438,railroad,iron,magician,rod,power,evoke,sleeping,energies,land,water,declared,ralph,waldo,emerson,speech,part,response,complaints,new,mode,transport,fast,critics,wailed,takes,romance,travel,things,changed,longer,fastest,direct,way,getting,traveling,train,grand,adventure,watching,scenery,glide,destinations,arranging,gradually,eyes,county,county,state,state,people,railfans,colorful,eclectic,collection,simply,hate,flying,others,travel,rail,find,travel,air,car,highways,dehumanizing,disrespectful,land,traversing,love,mechanics,culture,magic,railroad,travel,still,emerson,would,pleased,based,passage,author,purpose,likely,praise,emerson,foresight,evoke,past,glory,train,travel,vindicate,railfan,subculture,inspire,curiosity,train,travel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439,although,may,seem,like,silly,pastime,arm,wrestling,actually,bona,fide,sport,practiced,many,countries,sport,played,today,based,similar,competitive,american,indian,game,adopted,frontiersmen,practiced,casually,children,throughout,fact,long,time,common,name,sport,indian,wrestling,discovery,however,ancient,egyptian,tomb,bore,painting,people,engaging,arm,wrestling,match,suggests,practice,much,older,dating,back,least,today,world,arm,wrestling,federation,governing,body,sport,developed,specific,rules,regulations,sport,practice,holds,worldwide,competitions,federation,member,countries,worldwide,according,passage,arm,wrestling,considered,children,pastime,recognized,real,sport,invention,ancient,egyptians,passed,americas,one,handful,international,sports,originating,americas,international,sport,governed,world,arm,wrestling,federation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440,colonel,maggie,nickname,bestowed,upon,singer,actress,comedian,martha,raye,world,war,raye,joined,united,service,organizations,uso,toured,european,pacific,theaters,entertaining,americans,troops,best,keep,morale,high,reprised,role,twice,korean,war,vietnam,war,entertaining,army,special,forces,vietnam,raye,made,honorary,lieutenant,colonel,green,berets,afterwards,would,affectionately,call,colonel,maggie,one,year,death,raye,awarded,presidential,medal,freedom,buried,full,military,honors,fort,bragg,north,carolina,home,army,special,forces,command,following,conclusions,suggested,passage,martha,raye,deserve,presidential,medal,freedom,martha,ray,dedicated,military,troops,green,berets,generally,need,entertainment,troops,nickname,colonel,real,value,military,personnel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
441,folk,ballad,darling,clementine,actually,tragic,story,california,gold,miner,daughter,written,perspective,boy,falls,love,clementine,second,verse,song,describes,shoes,herring,boxes,without,topses,sandals,foreshadowing,way,clementine,accidentally,dies,third,verse,singer,relates,clementine,drove,ducklings,water,every,morning,one,morning,however,hits,foot,splinter,falls,water,fourth,verse,singer,describes,save,clementine,know,swim,although,laments,clementine,demise,last,verse,states,forgets,falling,love,clementine,younger,sister,song,mixture,loss,light-hearted,conclusion,make,entertaining,mock-serious,ode,deceased,lover,still,popular,campfire,song,based,passage,herring,boxes,without,topses,refer,footwear,food,storage,homes,ducklings,bins,miners,gear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442,following,democracy,america,alexis,tocqueville,whenever,political,laws,united,states,discussed,doctrine,sovereignty,people,must,begin,principle,sovereignty,people,found,less,bottom,almost,human,institutions,obeyed,without,recognized,principle,sovereignty,people,either,barren,concealed,nations,recognized,customs,proclaimed,laws,spreads,freely,arrives,without,impediment,remote,consequences,country,world,doctrine,sovereignty,people,fairly,appreciated,studied,application,affairs,society,dangers,advantages,may,foreseen,country,assuredly,america,following,statements,sovereignty,people,suggested,passage,americans,apply,avoid,unforeseen,dangers,found,american,institutions,american,laws,obstruct,americans,study,academically,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443,one,popular,desserts,philippines,called,halo-halo,mixture,ingredients,quite,easy,make,best,thing,halo-halo,easily,customized,specific,taste,first,thing,pick,favorite,sweetened,fruits,bananas,pineapples,jackfruits,cantaloupes,coconuts,place,tablespoon,tall,glass,add,tablespoon,sugar,next,fill,glass,shaved,crushed,ice,brim,pour,evaporated,milk,glass,brim,add,topping,many,people,put,scoop,ice,cream,top,others,use,leche,flan,filipino,custard,dessert,either,way,variation,halo-halo,perfect,anyone,sweet,tooth,hot,day,following,statements,suggested,passage,difficult,thing,making,halo-halo,crushing,ice,people,like,halo-halo,simple,nutritious,may,like,halo-halo,like,eat,sweet,things,ice,cream,key,halo-halo,popularity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,one,infamous,literary,forgeries,time,conducted,william-henry,ireland,penned,play,titled,vortigern,rowena,claiming,lost,work,william,shakespeare,ireland,motivation,creating,forgery,desire,impress,emotionally,distant,father,although,perceived,writing,weak,forgery,proved,good,enough,however,london,theater,company,decide,stage,play,theatergoers,excited,witness,historical,production,left,bitterly,disappointed,weaknesses,inherent,play,script,enhanced,stage,production,met,ridicule,first,performance,cancelled,afterwards,william-henry,proudly,confessed,forgery,yet,father,refused,believe,reasons,pleased,father,said,dull,pull,elaborate,hoax,following,statements,william-henry,ireland,suggested,passage,knew,father,easily,fooled,went,great,lengths,impress,father,father,blamed,hoax,father,admired,even,though,play,hoax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445,term,yellow,journalism,originated,used,describe,practice,writing,news,articles,sensationalistic,exaggerated,sometimes,wholly,fabricated,articles,course,presented,public,fact,driving,force,behind,yellow,journalism,commercial,outrageous,headlines,would,grab,people,attention,copies,newspaper,would,sold,believe,yellow,journalism,played,major,role,provoking,spanish-american,war,often,referred,first,media,war,fact,early,reporters,new,york,journal,went,cuba,found,nothing,much,happening,editor,william,randolph,hearst,famously,told,furnish,pictures,furnish,war,hearst,also,responsible,placing,blame,spanish,sinking,uss,maine,though,actual,cause,explosion,still,unknown,two,months,later,war,broke,following,statements,yellow,journalism,suggested,passage,driving,force,behind,wars,irresponsible,largely,practiced,order,make,money,practiced,articles,presented,fiction,invented,william,randolph,hearst,sell,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,
446,perhaps,impressive,collection,authentic,shakespearean,documents,world,housed,folger,shakespeare,library,washington,highlight,collection,copies,first,folio,published,seven,years,shakespeare,died,first,time,many,great,plays,macbeth,like,julius,caesar,appeared,print,copies,first,folio,still,existence,one,permanent,display,folger,guests,flip,document,touchscreen,monitor,first,folio,also,viewed,folger,shakespeare,library,website,second,folio,published,also,display,along,several,quartos,folger,collection,includes,quartos,relatively,low-quality,publications,individual,plays,published,shakespeare,lifetime,discussing,folger,shakespeare,library,author,primary,focus,several,quartos,collection,includes,differences,first,second,folios,impressive,collection,first,folios,housed,website,guests,view,rare,documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,following,excerpt,enchanted,island,yew,frank,baum,old,days,world,young,automobiles,flying-machines,make,one,wonder,railway,trains,telephones,mechanical,inventions,sort,keep,people,keyed,high,pitch,excitement,men,women,lived,simply,quietly,nature,children,breathed,fresh,air,lungs,instead,smoke,coal,gas,tramped,green,meadows,deep,forests,instead,riding,street,cars,went,bed,grew,dark,rose,sun,vastly,different,present,custom,books,read,told,adventures,one,another,little,ones,stories,handed,generation,generation,reverently,believed,based,passage,view,author,likely,children,old,trusting,read,lived,harmoniously,natural,world,need,sense,wonder,imagination,required,less,instruction,understand,world,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,following,queen,spades,alexander,pushkin,hermann,son,german,become,naturalized,russian,inherited,small,capital,firmly,convinced,necessity,preserving,independence,hermann,touch,private,income,lived,pay,without,allowing,slightest,luxury,moreover,reserved,ambitious,companions,rarely,opportunity,making,merry,expense,extreme,parsimony,strong,passions,ardent,imagination,firmness,disposition,preserved,ordinary,errors,young,men,thus,though,gamester,heart,never,touched,card,considered,position,allow,said,risk,necessary,hope,winning,superfluous,yet,would,sit,nights,together,card,table,follow,feverish,anxiety,different,turns,game,describing,hermann,author,primary,focus,gambling,affected,life,stayed,thrifty,spend,money,friends,able,make,much,money,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,following,excerpt,district,doctor,ivan,turgenev,way,back,country,caught,cold,fell,ill.,sent,doctor,half-an-hour,district,doctor,appeared,thin,dark-haired,man,middle,height,prescribed,usual,sudorific,getting,home,somehow,fell,talk,remained,exhausted,feverishness,foresaw,sleepless,night,glad,chat,pleasant,companion,began,converse,freely,sensible,fellow,expressed,vigor,humor,queer,things,happen,world,may,live,long,people,friendly,terms,never,speak,openly,soul,others,scarcely,time,get,acquainted,pouring,secrets,though,confession,author,likely,wrote,passage,order,explain,narrator,open,stranger,sickness,makes,one,strange,things,easier,friends,strangers,agreeable,country,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
